cell_id,T_level,anneal_T,tempered_T,access_mult,N_at_risk,prevalence,AUC_M_acc_w,AUC_dE_over_T,AUC_M_plus_dE,dAUC,class,dE_over_T_p10,dE_over_T_p90
cell_01_high_a0.64,high,1.05,1.4,0.64,102,0.43137254901960786,0.6586990595611285,0.38440438871473354,0.6763322884012539,0.017633228840125414,onset-dominated,0.6047062142857144,0.8565278095238095
cell_02_high_a0.65,high,1.05,1.4,0.65,107,0.4485981308411215,0.5596751412429378,0.4805790960451977,0.6225282485875706,0.06285310734463279,barrier-emergent,0.6018031428571429,0.8568986666666666
cell_03_high_a0.66,high,1.05,1.4,0.66,97,0.44329896907216493,0.516365202411714,0.48578811369509045,0.5400516795865633,0.023686477174849285,onset-dominated,0.5937401428571429,0.8476308571428571
cell_04_high_a0.67,high,1.05,1.4,0.67,97,0.5154639175257731,0.4646808510638298,0.5017021276595744,0.5646808510638298,0.10000000000000003,barrier-emergent,0.5998742857142858,0.8517179047619048
cell_05_baseline_a0.64,baseline,0.9,1.2,0.64,102,0.5,0.5851595540176855,0.39946174548250674,0.5890042291426374,0.0038446751249519018,onset-dominated,0.6886690833333333,0.9650845555555554
cell_06_baseline_a0.65,baseline,0.9,1.2,0.65,100,0.46,0.5740740740740741,0.358695652173913,0.6549919484702094,0.08091787439613529,barrier-emergent,0.6879363333333334,0.9641575555555556
cell_07_baseline_a0.66,baseline,0.9,1.2,0.66,107,0.4392523364485981,0.5014184397163121,0.5312056737588653,0.5670212765957446,0.06560283687943258,barrier-emergent,0.6908075,0.9718888888888888
cell_08_baseline_a0.67,baseline,0.9,1.2,0.67,103,0.4368932038834951,0.5287356321839081,0.48314176245210727,0.5628352490421455,0.03409961685823748,transitional,0.6934328333333334,0.968352
cell_09_low_a0.64,low,0.6,0.8,0.64,99,0.43434343434343436,0.5710132890365448,0.4480897009966777,0.5959302325581395,0.02491694352159468,onset-dominated,0.95184825,1.3270476666666666
cell_10_low_a0.65,low,0.6,0.8,0.65,101,0.45544554455445546,0.5553359683794467,0.4324110671936759,0.5600790513833992,0.004743083003952542,onset-dominated,0.9610549999999999,1.32095
cell_11_low_a0.66,low,0.6,0.8,0.66,102,0.45098039215686275,0.5376552795031055,0.44875776397515527,0.5388198757763976,0.0011645962732920179,onset-dominated,0.9577718749999999,1.3162013333333333
cell_12_low_a0.67,low,0.6,0.8,0.67,97,0.4639175257731959,0.5628205128205128,0.397008547008547,0.6222222222222222,0.05940170940170941,barrier-emergent,0.9711105,1.3267496666666667
