access_mult,bin,N,prevalence,AUC_dE_over_T
0.64,"(4.824, 4.886]",41,0.3170731707317073,0.5796703296703297
0.64,"(4.886, 4.91]",40,0.3,0.22023809523809523
0.64,"(4.91, 5.03]",41,0.4878048780487805,0.38333333333333336
0.64,"(5.03, 5.055]",40,0.675,0.4301994301994302
0.64,"(5.055, 5.103]",41,0.4878048780487805,0.75
0.65,"(4.827999999999999, 4.888]",41,0.3170731707317073,0.3516483516483517
0.65,"(4.888, 4.912]",40,0.325,0.39886039886039887
0.65,"(4.912, 5.035]",40,0.525,0.39849624060150374
0.65,"(5.035, 5.061]",40,0.625,0.6026666666666667
0.65,"(5.061, 5.103]",41,0.34146341463414637,0.3412698412698413
0.66,"(4.832999999999999, 4.888]",42,0.38095238095238093,0.5240384615384616
0.66,"(4.888, 4.908]",41,0.5853658536585366,0.4117647058823529
0.66,"(4.908, 5.036]",41,0.4146341463414634,0.3799019607843137
0.66,"(5.036, 5.058]",41,0.4878048780487805,0.6
0.66,"(5.058, 5.111]",41,0.4146341463414634,0.40931372549019607
