repo,priority,priority_reason,status,last_error,suggested_action
nasa-jpl/ION-DTN,3,critical:ion-dtn,pending_retry,HTTP Error 403: rate limit exceeded,retry_when_rate_limit_resets
nasa-jpl/ion-core,3,critical:ion-core,pending_retry,HTTP Error 403: rate limit exceeded,retry_when_rate_limit_resets
nasa-jpl/ROSCO,3,critical:rosco,recovered,HTTP Error 403: rate limit exceeded,defer (already recovered)
nasa-jpl/lunasynth,3,critical:lunasynth,recovered,HTTP Error 403: rate limit exceeded,defer (already recovered)
nasa-jpl/martian,3,critical:martian,recovered,HTTP Error 403: rate limit exceeded,defer (already recovered)
nasa-jpl/mbl_mars,3,critical:mbl_mars,recovered,HTTP Error 403: rate limit exceeded,defer (already recovered)
nasa-jpl/motor_model,3,critical:motor_model,recovered,HTTP Error 403: rate limit exceeded,defer (already recovered)
nasa-jpl/ros2-ion,3,critical:ros2-ion,recovered,HTTP Error 403: rate limit exceeded,defer (already recovered)
nasa-jpl/rosa,3,critical:rosa,recovered,HTTP Error 403: rate limit exceeded,defer (already recovered)
nasa-jpl/rosa-isaacsim,3,critical:rosa,recovered,HTTP Error 403: rate limit exceeded,defer (already recovered)
nasa-jpl/tasksat,3,critical:tasksat,recovered,HTTP Error 403: rate limit exceeded,defer (already recovered)
nasa-jpl/visual-perception-engine,3,critical:visual-perception-engine,recovered,HTTP Error 403: rate limit exceeded,defer (already recovered)
nasa-jpl/landmark_tools,2,high:landmark,pending_retry,HTTP Error 403: rate limit exceeded,retry_when_rate_limit_resets
nasa-jpl/Blackbird,2,high:blackbird,recovered,HTTP Error 403: rate limit exceeded,defer (already recovered)
nasa-jpl/ACI-colorization,0,low:generic,pending_retry,HTTP Error 403: rate limit exceeded,retry_when_rate_limit_resets
nasa-jpl/CouchbaseSync,0,low:generic,pending_retry,HTTP Error 403: rate limit exceeded,retry_when_rate_limit_resets
nasa-jpl/DataDrive-Frontend,0,low:generic,pending_retry,HTTP Error 403: rate limit exceeded,retry_when_rate_limit_resets
nasa-jpl/DataDrive-Middleware,0,low:generic,pending_retry,HTTP Error 403: rate limit exceeded,retry_when_rate_limit_resets
nasa-jpl/DataDrive-Notification-Lambdas,0,low:generic,pending_retry,HTTP Error 403: rate limit exceeded,retry_when_rate_limit_resets
