approach_slope_limit_deg,egress_reserve_fraction,disturbance_index_cap,telemetry_buffer_min_s,synthetic_success_score,pass
16,0.24,0.28,150,0.413,True
16,0.24,0.28,180,0.438,True
16,0.24,0.28,210,0.463,True
16,0.24,0.28,240,0.488,True
16,0.24,0.3,150,0.409,True
16,0.24,0.3,180,0.434,True
16,0.24,0.3,210,0.459,True
16,0.24,0.3,240,0.484,True
16,0.24,0.32,150,0.405,True
16,0.24,0.32,180,0.43,True
16,0.24,0.32,210,0.455,True
16,0.24,0.32,240,0.48,True
16,0.24,0.34,150,0.401,True
16,0.24,0.34,180,0.426,True
16,0.24,0.34,210,0.451,True
16,0.24,0.34,240,0.476,True
16,0.28,0.28,150,0.425,True
16,0.28,0.28,180,0.45,True
16,0.28,0.28,210,0.475,True
16,0.28,0.28,240,0.5,True
16,0.28,0.3,150,0.421,True
16,0.28,0.3,180,0.446,True
16,0.28,0.3,210,0.471,True
16,0.28,0.3,240,0.496,True
16,0.28,0.32,150,0.417,True
16,0.28,0.32,180,0.442,True
16,0.28,0.32,210,0.467,True
16,0.28,0.32,240,0.492,True
16,0.28,0.34,150,0.413,True
16,0.28,0.34,180,0.438,True
16,0.28,0.34,210,0.463,True
16,0.28,0.34,240,0.488,True
16,0.32,0.28,150,0.437,True
16,0.32,0.28,180,0.462,True
16,0.32,0.28,210,0.487,True
16,0.32,0.28,240,0.512,True
16,0.32,0.3,150,0.433,True
16,0.32,0.3,180,0.458,True
16,0.32,0.3,210,0.483,True
16,0.32,0.3,240,0.508,True
16,0.32,0.32,150,0.429,True
16,0.32,0.32,180,0.454,True
16,0.32,0.32,210,0.479,True
16,0.32,0.32,240,0.504,True
16,0.32,0.34,150,0.425,True
16,0.32,0.34,180,0.45,True
16,0.32,0.34,210,0.475,True
16,0.32,0.34,240,0.5,True
18,0.24,0.28,150,0.437,True
18,0.24,0.28,180,0.462,True
18,0.24,0.28,210,0.487,True
18,0.24,0.28,240,0.512,True
18,0.24,0.3,150,0.433,True
18,0.24,0.3,180,0.458,True
18,0.24,0.3,210,0.483,True
18,0.24,0.3,240,0.508,True
18,0.24,0.32,150,0.429,True
18,0.24,0.32,180,0.454,True
18,0.24,0.32,210,0.479,True
18,0.24,0.32,240,0.504,True
18,0.24,0.34,150,0.425,True
18,0.24,0.34,180,0.45,True
18,0.24,0.34,210,0.475,True
18,0.24,0.34,240,0.5,True
18,0.28,0.28,150,0.449,True
18,0.28,0.28,180,0.474,True
18,0.28,0.28,210,0.499,True
18,0.28,0.28,240,0.524,True
18,0.28,0.3,150,0.445,True
18,0.28,0.3,180,0.47,True
18,0.28,0.3,210,0.495,True
18,0.28,0.3,240,0.52,True
18,0.28,0.32,150,0.441,True
18,0.28,0.32,180,0.466,True
18,0.28,0.32,210,0.491,True
18,0.28,0.32,240,0.516,True
18,0.28,0.34,150,0.437,True
18,0.28,0.34,180,0.462,True
18,0.28,0.34,210,0.487,True
18,0.28,0.34,240,0.512,True
18,0.32,0.28,150,0.461,True
18,0.32,0.28,180,0.486,True
18,0.32,0.28,210,0.511,True
18,0.32,0.28,240,0.536,True
18,0.32,0.3,150,0.457,True
18,0.32,0.3,180,0.482,True
18,0.32,0.3,210,0.507,True
18,0.32,0.3,240,0.532,True
18,0.32,0.32,150,0.453,True
18,0.32,0.32,180,0.478,True
18,0.32,0.32,210,0.503,True
18,0.32,0.32,240,0.528,True
18,0.32,0.34,150,0.449,True
18,0.32,0.34,180,0.474,True
18,0.32,0.34,210,0.499,True
18,0.32,0.34,240,0.524,True
20,0.24,0.28,150,0.461,True
20,0.24,0.28,180,0.486,True
20,0.24,0.28,210,0.511,True
20,0.24,0.28,240,0.536,True
20,0.24,0.3,150,0.457,True
20,0.24,0.3,180,0.482,True
20,0.24,0.3,210,0.507,True
20,0.24,0.3,240,0.532,True
20,0.24,0.32,150,0.453,True
20,0.24,0.32,180,0.478,True
20,0.24,0.32,210,0.503,True
20,0.24,0.32,240,0.528,True
20,0.24,0.34,150,0.449,True
20,0.24,0.34,180,0.474,True
20,0.24,0.34,210,0.499,True
20,0.24,0.34,240,0.524,True
20,0.28,0.28,150,0.473,True
20,0.28,0.28,180,0.498,True
20,0.28,0.28,210,0.523,True
20,0.28,0.28,240,0.548,True
20,0.28,0.3,150,0.469,True
20,0.28,0.3,180,0.494,True
20,0.28,0.3,210,0.519,True
20,0.28,0.3,240,0.544,True
20,0.28,0.32,150,0.465,True
20,0.28,0.32,180,0.49,True
20,0.28,0.32,210,0.515,True
20,0.28,0.32,240,0.54,True
20,0.28,0.34,150,0.461,True
20,0.28,0.34,180,0.486,True
20,0.28,0.34,210,0.511,True
20,0.28,0.34,240,0.536,True
20,0.32,0.28,150,0.485,True
20,0.32,0.28,180,0.51,True
20,0.32,0.28,210,0.535,True
20,0.32,0.28,240,0.56,True
20,0.32,0.3,150,0.481,True
20,0.32,0.3,180,0.506,True
20,0.32,0.3,210,0.531,True
20,0.32,0.3,240,0.556,True
20,0.32,0.32,150,0.477,True
20,0.32,0.32,180,0.502,True
20,0.32,0.32,210,0.527,True
20,0.32,0.32,240,0.552,True
20,0.32,0.34,150,0.473,True
20,0.32,0.34,180,0.498,True
20,0.32,0.34,210,0.523,True
20,0.32,0.34,240,0.548,True
22,0.24,0.28,150,0.485,True
22,0.24,0.28,180,0.51,True
22,0.24,0.28,210,0.535,True
22,0.24,0.28,240,0.56,True
22,0.24,0.3,150,0.481,True
22,0.24,0.3,180,0.506,True
22,0.24,0.3,210,0.531,True
22,0.24,0.3,240,0.556,True
22,0.24,0.32,150,0.477,True
