disturbance_index_cap,collapse_risk_abort_threshold,abort_gap,min_energy_reserve_fraction,synthetic_success_score,pass
0.25,0.4,0.15,0.2,0.2075,False
0.25,0.4,0.15,0.25,0.22,False
0.25,0.4,0.15,0.3,0.2325,False
0.25,0.45,0.2,0.2,0.2225,False
0.25,0.45,0.2,0.25,0.235,False
0.25,0.45,0.2,0.3,0.2475,False
0.25,0.5,0.25,0.2,0.2375,False
0.25,0.5,0.25,0.25,0.25,False
0.25,0.5,0.25,0.3,0.2625,False
0.25,0.55,0.3,0.2,0.2525,False
0.25,0.55,0.3,0.25,0.265,False
0.25,0.55,0.3,0.3,0.2775,False
0.25,0.6,0.35,0.2,0.2675,False
0.25,0.6,0.35,0.25,0.28,False
0.25,0.6,0.35,0.3,0.2925,False
0.3,0.45,0.15,0.2,0.23,False
0.3,0.45,0.15,0.25,0.2425,False
0.3,0.45,0.15,0.3,0.255,False
0.3,0.5,0.2,0.2,0.245,False
0.3,0.5,0.2,0.25,0.2575,False
0.3,0.5,0.2,0.3,0.27,False
0.3,0.55,0.25,0.2,0.26,False
0.3,0.55,0.25,0.25,0.2725,False
0.3,0.55,0.25,0.3,0.285,False
0.3,0.6,0.3,0.2,0.275,False
0.3,0.6,0.3,0.25,0.2875,False
0.3,0.6,0.3,0.3,0.3,False
0.3,0.65,0.35,0.2,0.29,False
0.3,0.65,0.35,0.25,0.3025,False
0.3,0.65,0.35,0.3,0.315,False
0.35,0.5,0.15,0.2,0.2525,False
0.35,0.5,0.15,0.25,0.265,False
0.35,0.5,0.15,0.3,0.2775,False
0.35,0.55,0.2,0.2,0.2675,False
0.35,0.55,0.2,0.25,0.28,False
0.35,0.55,0.2,0.3,0.2925,False
0.35,0.6,0.25,0.2,0.2825,False
0.35,0.6,0.25,0.25,0.295,False
0.35,0.6,0.25,0.3,0.3075,False
0.35,0.65,0.3,0.2,0.2975,False
0.35,0.65,0.3,0.25,0.31,False
0.35,0.65,0.3,0.3,0.3225,False
0.35,0.7,0.35,0.2,0.3125,False
0.35,0.7,0.35,0.25,0.325,False
0.35,0.7,0.35,0.3,0.3375,False
0.4,0.55,0.15,0.2,0.275,False
0.4,0.55,0.15,0.25,0.2875,False
0.4,0.55,0.15,0.3,0.3,False
0.4,0.6,0.2,0.2,0.29,False
0.4,0.6,0.2,0.25,0.3025,False
0.4,0.6,0.2,0.3,0.315,False
0.4,0.65,0.25,0.2,0.305,False
0.4,0.65,0.25,0.25,0.3175,False
0.4,0.65,0.25,0.3,0.33,False
0.4,0.7,0.3,0.2,0.32,False
0.4,0.7,0.3,0.25,0.3325,False
0.4,0.7,0.3,0.3,0.345,False
0.4,0.75,0.35,0.2,0.335,False
0.4,0.75,0.35,0.25,0.3475,False
0.4,0.75,0.35,0.3,0.36,True
0.45,0.6,0.15,0.2,0.2975,False
0.45,0.6,0.15,0.25,0.31,False
0.45,0.6,0.15,0.3,0.3225,False
0.45,0.65,0.2,0.2,0.3125,False
0.45,0.65,0.2,0.25,0.325,False
0.45,0.65,0.2,0.3,0.3375,False
0.45,0.7,0.25,0.2,0.3275,False
0.45,0.7,0.25,0.25,0.34,False
0.45,0.7,0.25,0.3,0.3525,True
0.45,0.75,0.3,0.2,0.3425,False
0.45,0.75,0.3,0.25,0.355,True
0.45,0.75,0.3,0.3,0.3675,True
0.45,0.8,0.35,0.2,0.3575,True
0.45,0.8,0.35,0.25,0.37,True
0.45,0.8,0.35,0.3,0.3825,True
0.5,0.65,0.15,0.2,0.32,False
0.5,0.65,0.15,0.25,0.3325,False
0.5,0.65,0.15,0.3,0.345,False
0.5,0.7,0.2,0.2,0.335,False
0.5,0.7,0.2,0.25,0.3475,False
0.5,0.7,0.2,0.3,0.36,True
0.5,0.75,0.25,0.2,0.35,True
0.5,0.75,0.25,0.25,0.3625,True
0.5,0.75,0.25,0.3,0.375,True
0.5,0.8,0.3,0.2,0.365,True
0.5,0.8,0.3,0.25,0.3775,True
0.5,0.8,0.3,0.3,0.39,True
0.5,0.85,0.35,0.2,0.38,True
0.5,0.85,0.35,0.25,0.3925,True
0.5,0.85,0.35,0.3,0.405,True
0.55,0.7,0.15,0.2,0.3425,False
0.55,0.7,0.15,0.25,0.355,True
0.55,0.7,0.15,0.3,0.3675,True
0.55,0.75,0.2,0.2,0.3575,True
0.55,0.75,0.2,0.25,0.37,True
0.55,0.75,0.2,0.3,0.3825,True
0.55,0.8,0.25,0.2,0.3725,True
0.55,0.8,0.25,0.25,0.385,True
0.55,0.8,0.25,0.3,0.3975,True
0.55,0.85,0.3,0.2,0.3875,True
0.55,0.85,0.3,0.25,0.4,True
0.55,0.85,0.3,0.3,0.4125,True
0.55,0.9,0.35,0.2,0.4025,True
0.55,0.9,0.35,0.25,0.415,True
0.55,0.9,0.35,0.3,0.4275,True
0.6,0.75,0.15,0.2,0.365,True
0.6,0.75,0.15,0.25,0.3775,True
0.6,0.75,0.15,0.3,0.39,True
0.6,0.8,0.2,0.2,0.38,True
0.6,0.8,0.2,0.25,0.3925,True
0.6,0.8,0.2,0.3,0.405,True
0.6,0.85,0.25,0.2,0.395,True
0.6,0.85,0.25,0.25,0.4075,True
0.6,0.85,0.25,0.3,0.42,True
0.6,0.9,0.3,0.2,0.41,True
0.6,0.9,0.3,0.25,0.4225,True
0.6,0.9,0.3,0.3,0.435,True
0.6,0.95,0.35,0.2,0.425,True
0.6,0.95,0.35,0.25,0.4375,True
0.6,0.95,0.35,0.3,0.45,True
