requirement_id,canonical_requirement_id,pass
REQ-MOB-002,REQ-LOCO-002,True
REQ-FOOT-001,REQ-FOOT-001,True
REQ-FOOT-002,REQ-FOOT-002,True
REQ-FOOT-003,REQ-FOOT-003,True
REQ-FOOT-002,REQ-FOOT-002,True
REQ-FOOT-003,REQ-FOOT-003,True
REQ-FOOT-004,REQ-FOOT-004,True
REQ-AUTO-001,REQ-AUTO-001,True
REQ-DUST-001,REQ-DUST-001,True
REQ-THERM-001,REQ-THERM-001,True
REQ-ACT-001,REQ-ACT-001,True
REQ-ACT-002,REQ-ACT-002,True
REQ-ACT-003,REQ-ACT-003,True
REQ-ACT-004,REQ-ACT-004,True
REQ-AUTO-002,REQ-AUTO-002,True
REQ-AUTO-003,REQ-AUTO-003,True
REQ-AUTO-004,REQ-AUTO-004,True
REQ-AUTO-005,REQ-AUTO-005,True
REQ-COMMS-001,REQ-COMMS-001,True
REQ-COMMS-002,REQ-COMMS-002,True
REQ-DUST-002,REQ-DUST-002,True
REQ-DUST-003,REQ-DUST-003,True
REQ-LOCO-001,REQ-LOCO-001,True
REQ-LOCO-002,REQ-LOCO-002,True
REQ-LOCO-003,REQ-LOCO-003,True
REQ-LOCO-004,REQ-LOCO-004,True
REQ-MOB-001,REQ-LOCO-001,True
REQ-PWR-001,REQ-PWR-001,True
REQ-PWR-002,REQ-PWR-002,True
REQ-THERM-002,REQ-THERM-002,True
REQ-THERM-003,REQ-THERM-003,True
REQ-LOCO-005,REQ-LOCO-005,True
REQ-LOCO-006,REQ-LOCO-006,True
REQ-THERM-004,REQ-THERM-004,True
REQ-THERM-005,REQ-THERM-005,True
REQ-PWR-003,REQ-PWR-003,True
REQ-PWR-004,REQ-PWR-004,True
REQ-COMMS-003,REQ-COMMS-003,True
REQ-CAD-001,REQ-CAD-001,True
REQ-CAD-002,REQ-CAD-002,True
REQ-LOCO-007,REQ-LOCO-007,True
REQ-LOCO-008,REQ-LOCO-008,True
REQ-LOCO-009,REQ-LOCO-009,True
REQ-AUTO-006,REQ-AUTO-006,True
REQ-AUTO-007,REQ-AUTO-007,True
REQ-AUTO-008,REQ-AUTO-008,True
REQ-BURROW-001,REQ-BURROW-001,True
REQ-BURROW-002,REQ-BURROW-002,True
